====[USD/JPY]====
[2013-02-27]判定:売[終値:1.0232↑(高値:1.0241↓,安値:1.0182↓), EMA12:1.0288↓,EMA26:1.0338↓,MACD:-0.0050↓,SIGNAL:-0.0045↓,分析値:-0.05↓, 変化値:1.0332↑(差:0.0100↑)]
[2013-02-28]判定:売[終値:1.0213↓(高値:1.0285↑,安値:1.0199↑), EMA12:1.0277↓,EMA26:1.0329↓,MACD:-0.0052↓,SIGNAL:-0.0047↓,分析値:-0.06↓, 変化値:1.0313↓(差:0.0100↑)]
[2013-03-01]判定:売[終値:1.0199↓(高値:1.0237↓,安値:1.0182↓), EMA12:1.0265↓,EMA26:1.0319↓,MACD:-0.0055↓,SIGNAL:-0.0048↓,分析値:-0.06↓, 変化値:1.0299↓(差:0.0100↑)]
[2013-03-04]判定:売[終値:1.0193↓(高値:1.0205↓,安値:1.0115↓), EMA12:1.0254↓,EMA26:1.0310↓,MACD:-0.0056↓,SIGNAL:-0.0050↓,分析値:-0.06↓, 変化値:1.0293↓(差:0.0100↑)]
[2013-03-05]判定:売[終値:1.0254↑(高値:1.0258↑,安値:1.0187↑), EMA12:1.0254↑,EMA26:1.0306↓,MACD:-0.0052↑,SIGNAL:-0.0050↓,分析値:-0.02↑, 変化値:1.0354↑(差:0.0100↑)]
[2013-03-06]判定:買[終値:1.0234↓(高値:1.0297↑,安値:1.0233↑), EMA12:1.0251↓,EMA26:1.0301↓,MACD:-0.0050↑,SIGNAL:-0.0050↑,分析値:0.00↑, 変化値:1.0134↓(差:0.0100↑)]
[2013-03-07]判定:買[終値:1.0266↑(高値:1.0285↓,安値:1.0218↓), EMA12:1.0253↑,EMA26:1.0298↓,MACD:-0.0045↑,SIGNAL:-0.0049↑,分析値:0.04↑, 変化値:1.0066↓(差:0.0200↑)]

====[NZD/JPY]====
[2013-02-22]判定:売[終値:78.22↑(高値:78.3400↑,安値:77.5500↑), EMA12:78.2796↓,EMA26:77.2196↑,MACD:1.0600↓,SIGNAL:1.3342↓,分析値:-0.27↓, 変化値:82.71↑(差:4.49↓)]
[2013-02-25]判定:売[終値:76.22↓(高値:78.9800↑,安値:76.0900↓), EMA12:77.9627↓,EMA26:77.1455↓,MACD:0.8172↓,SIGNAL:1.2308↓,分析値:-0.41↓, 変化値:83.91↑(差:7.69↑)]
[2013-02-26]判定:売[終値:75.81↓(高値:77.2600↓,安値:75.1700↓), EMA12:77.6315↓,EMA26:77.0466↓,MACD:0.5849↓,SIGNAL:1.1016↓,分析値:-0.52↓, 変化値:84.66↑(差:8.85↑)]
[2013-02-27]判定:売[終値:76.32↑(高値:76.4200↓,安値:75.0900↓), EMA12:77.4297↓,EMA26:76.9928↓,MACD:0.4370↓,SIGNAL:0.9687↓,分析値:-0.53↓, 変化値:84.51↓(差:8.19↓)]
[2013-02-28]判定:売[終値:76.32↑(高値:76.8800↑,安値:76.1500↑), EMA12:77.2590↓,EMA26:76.9429↓,MACD:0.3161↓,SIGNAL:0.8382↓,分析値:-0.52↑, 変化値:84.10↓(差:7.78↓)]
[2013-03-01]判定:売[終値:77.22↑(高値:77.2800↑,安値:76.2600↑), EMA12:77.2530↓,EMA26:76.9635↑,MACD:0.2896↓,SIGNAL:0.7285↓,分析値:-0.44↑, 変化値:83.03↓(差:5.81↓)]
[2013-03-04]判定:売[終値:77.34↑(高値:77.3400↑,安値:76.4700↑), EMA12:77.2664↑,EMA26:76.9913↑,MACD:0.2750↓,SIGNAL:0.6378↓,分析値:-0.36↑, 変化値:82.07↓(差:4.73↓)]
[2013-03-05]判定:売[終値:77.48↑(高値:77.7000↑,安値:76.8900↑), EMA12:77.2993↑,EMA26:77.0275↑,MACD:0.2717↓,SIGNAL:0.5646↓,分析値:-0.29↑, 変化値:81.23↓(差:3.75↓)]
[2013-03-06]判定:売[終値:77.88↑(高値:77.9900↑,安値:77.4300↑), EMA12:77.3886↑,EMA26:77.0907↑,MACD:0.2979↑,SIGNAL:0.5112↓,分析値:-0.21↑, 変化値:80.34↓(差:2.46↓)]
[2013-03-07]判定:売[終値:78.51↑(高値:78.6000↑,安値:77.5700↑), EMA12:77.5611↑,EMA26:77.1958↑,MACD:0.3653↑,SIGNAL:0.4820↓,分析値:-0.12↑, 変化値:79.37↓(差:0.86↓)]

====[NZD/USD]====
[2013-02-22]判定:売[終値:0.8375↑(高値:0.8393↑,安値:0.8333↑), EMA12:0.8400↓,EMA26:0.8392↓,MACD:0.0008↓,SIGNAL:0.0017↓,分析値:-0.09↓, 変化値:0.8575↑(差:0.0200↑)]
[2013-02-25]判定:売[終値:0.8357↓(高値:0.8412↑,安値:0.8352↑), EMA12:0.8393↓,EMA26:0.8389↓,MACD:0.0004↓,SIGNAL:0.0014↓,分析値:-0.10↓, 変化値:0.8557↓(差:0.0200↑)]
[2013-02-26]判定:売[終値:0.8242↓(高値:0.8350↓,安値:0.8224↓), EMA12:0.8370↓,EMA26:0.8379↓,MACD:-0.0008↓,SIGNAL:0.0010↓,分析値:-0.18↓, 変化値:0.8642↑(差:0.0400↑)]
[2013-02-27]判定:売[終値:0.8275↑(高値:0.8279↓,安値:0.8225↑), EMA12:0.8355↓,EMA26:0.8371↓,MACD:-0.0015↓,SIGNAL:0.0005↓,分析値:-0.20↓, 変化値:0.8675↑(差:0.0400↑)]
[2013-02-28]判定:売[終値:0.8247↓(高値:0.8319↑,安値:0.8240↑), EMA12:0.8339↓,EMA26:0.8362↓,MACD:-0.0023↓,SIGNAL:-0.0001↓,分析値:-0.22↓, 変化値:0.8647↓(差:0.0400↑)]
[2013-03-01]判定:売[終値:0.8256↑(高値:0.8290↓,安値:0.8216↓), EMA12:0.8326↓,EMA26:0.8354↓,MACD:-0.0028↓,SIGNAL:-0.0006↓,分析値:-0.22↑, 変化値:0.8656↑(差:0.0400↑)]
[2013-03-04]判定:売[終値:0.8275↑(高値:0.8278↓,安値:0.8194↓), EMA12:0.8318↓,EMA26:0.8348↓,MACD:-0.0030↓,SIGNAL:-0.0011↓,分析値:-0.19↑, 変化値:0.8575↓(差:0.0300↓)]
[2013-03-05]判定:売[終値:0.8308↑(高値:0.8328↑,安値:0.8256↑), EMA12:0.8317↓,EMA26:0.8345↓,MACD:-0.0028↑,SIGNAL:-0.0015↓,分析値:-0.14↑, 変化値:0.8508↓(差:0.0200↓)]
[2013-03-06]判定:売[終値:0.8281↓(高値:0.8344↑,安値:0.8276↑), EMA12:0.8311↓,EMA26:0.8340↓,MACD:-0.0029↓,SIGNAL:-0.0017↓,分析値:-0.12↑, 変化値:0.8481↓(差:0.0200↑)]
[2013-03-07]判定:売[終値:0.8282↑(高値:0.8310↓,安値:0.8261↓), EMA12:0.8307↓,EMA26:0.8336↓,MACD:-0.0029↓,SIGNAL:-0.0020↓,分析値:-0.10↑, 変化値:0.8482↑(差:0.0200↑)]

====[CAD/JPY]====
[2013-02-22]判定:売[終値:91.51↑(高値:91.8700↓,安値:90.8600↓), EMA12:92.2793↓,EMA26:91.6368↓,MACD:0.6425↓,SIGNAL:1.0379↓,分析値:-0.40↓, 変化値:97.84↑(差:6.33↑)]
[2013-02-25]判定:売[終値:88.77↓(高値:92.1900↑,安値:88.5400↓), EMA12:91.7394↓,EMA26:91.4244↓,MACD:0.3149↓,SIGNAL:0.8933↓,分析値:-0.58↓, 変化値:99.29↑(差:10.52↑)]
[2013-02-26]判定:売[終値:89.62↑(高値:90.3900↓,安値:88.5900↑), EMA12:91.4133↓,EMA26:91.2908↓,MACD:0.1225↓,SIGNAL:0.7392↓,分析値:-0.62↓, 変化値:99.26↓(差:9.64↓)]
